name         ,selector     ,type              ,unused ,width ,editable ,decimals ,isPill ,align    ,cn ,download ,chart ,searchable ,detail ,wide ,underField ,onDisplay     ,onAccept ,onValidate
ID           ,id           ,string            ,       ,1     ,         ,         ,       ,         ,   ,         ,      ,true       ,       ,     ,           ,getFieldValue ,         ,
Block Number ,blockNumber  ,blknum            ,       ,1     ,         ,         ,       ,         ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Hash         ,hash         ,hash              ,       ,1     ,         ,         ,       ,         ,   ,         ,      ,true       ,       ,     ,           ,              ,         ,
Parent Hash  ,parentHash   ,hash              ,       ,1     ,         ,         ,       ,         ,   ,         ,      ,true       ,       ,     ,           ,              ,         ,
Timestamp    ,timestamp    ,timestamp         ,       ,1     ,         ,         ,       ,         ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Transactions ,transactions ,CTransactionArray ,       ,1     ,         ,         ,       ,wordwrap ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Difficulty   ,difficulty   ,uint64            ,       ,1     ,         ,         ,       ,         ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Miner        ,miner        ,address           ,       ,1     ,         ,         ,       ,         ,   ,         ,      ,true       ,       ,     ,           ,              ,         ,
Gas Limit    ,gasLimit     ,gas               ,       ,1     ,         ,         ,       ,         ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Gas Used     ,gasUsed      ,gas               ,       ,1     ,         ,         ,       ,         ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Finalized    ,finalized    ,bool              ,       ,1     ,         ,         ,       ,         ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Price        ,price        ,double            ,       ,1     ,         ,2        ,       ,         ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Name         ,name         ,string            ,       ,1     ,         ,         ,       ,         ,   ,         ,      ,true       ,       ,     ,           ,              ,         ,
Light        ,light        ,bool              ,       ,1     ,         ,         ,       ,         ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
