name              ,selector          ,type           ,unused ,width ,editable ,decimals ,isPill ,align ,cn ,download ,chart ,searchable ,detail ,wide ,underField ,onDisplay     ,onAccept ,onValidate
ID                ,id                ,string         ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,true       ,       ,     ,           ,getFieldValue ,         ,
Block Hash        ,blockHash         ,hash           ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,true       ,       ,     ,           ,              ,         ,
Block Number      ,blockNumber       ,blknum         ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,true       ,       ,     ,           ,              ,         ,
Contract Address  ,contractAddress   ,address        ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,true       ,       ,     ,           ,              ,         ,
Cumulative Gas    ,cumulativeGasUsed ,wei            ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
From              ,from              ,address        ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,true       ,       ,     ,           ,              ,         ,
Gas Used          ,gasUsed           ,gas            ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,true       ,       ,     ,           ,              ,         ,
Logs              ,logs              ,CLogEntryArray ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Logs Bloom        ,logsBloom         ,string         ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Root              ,root              ,bytes32        ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Status            ,status            ,uint32         ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
To                ,to                ,address        ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,true       ,       ,     ,           ,              ,         ,
Transaction Hash  ,transactionHash   ,hash           ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,true       ,       ,     ,           ,              ,         ,
Transaction Index ,transactionIndex  ,blknum         ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
