name          ,selector             ,type     ,unused ,width ,editable ,decimals ,isPill ,align  ,cn ,download ,chart ,searchable ,detail ,wide ,underField ,onDisplay      ,onAccept ,onValidate
ID            ,id                   ,string   ,       ,0     ,         ,         ,       ,       ,   ,         ,      ,true       ,       ,     ,           ,getFieldValue  ,         ,
Tags          ,tags                 ,string   ,       ,3     ,true     ,         ,       ,       ,   ,         ,      ,true       ,       ,     ,           ,               ,         ,
Address       ,address              ,address  ,       ,6     ,         ,         ,       ,       ,   ,         ,      ,true       ,       ,     ,           ,               ,         ,
Name          ,name                 ,string   ,       ,7     ,true     ,         ,       ,       ,   ,         ,      ,true       ,       ,     ,           ,               ,         ,
Symbol        ,symbol               ,string   ,       ,0     ,true     ,         ,       ,center ,   ,         ,      ,true       ,       ,     ,           ,               ,         ,
Source        ,source               ,string   ,       ,0     ,true     ,         ,       ,       ,   ,         ,      ,true       ,       ,     ,           ,               ,         ,
Decimals      ,decimals             ,uint64   ,       ,0     ,         ,         ,       ,center ,   ,         ,      ,           ,       ,     ,           ,               ,         ,
Description   ,description          ,string   ,       ,0     ,true     ,         ,       ,       ,   ,         ,      ,true       ,       ,     ,           ,               ,         ,
isCustom      ,is_custom            ,bool     ,       ,0     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,               ,         ,
isPrefund     ,is_prefund           ,bool     ,       ,0     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,               ,         ,
Count         ,nAppearances         ,blknum   ,       ,2     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,               ,         ,
Last Export   ,lastExport           ,blknum   ,       ,0     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,               ,         ,
First Block   ,firstAppearance      ,blknum   ,       ,2     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,               ,         ,
Last Block    ,latestAppearance     ,blknum   ,       ,2     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,               ,         ,
Path          ,path                 ,string   ,       ,0     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,               ,         ,
Monitor Size  ,sizeInBytes          ,filesize ,       ,2     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,               ,         ,
Tx Cache Size ,sizeInBytes2         ,filesize ,       ,2     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,               ,         ,
Deleted       ,deleted              ,bool     ,       ,0     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,               ,         ,
ACCNT         ,accounting.accnt     ,string   ,       ,0     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,getExportValue ,         ,
NAME          ,accounting.name      ,string   ,       ,0     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,getExportValue ,         ,
REFNUM        ,accounting.refnum    ,string   ,       ,0     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,getExportValue ,         ,
TIMESTAMP     ,accounting.timestamp ,string   ,       ,0     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,getExportValue ,         ,
ACCNTTYPE     ,accounting.accnttype ,string   ,       ,0     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,getExportValue ,         ,
OBAMOUNT      ,accounting.obamount  ,string   ,       ,0     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,getExportValue ,         ,
DESC          ,accounting.desc      ,string   ,       ,0     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,getExportValue ,         ,
ACCNUM        ,accounting.accum     ,string   ,       ,0     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,getExportValue ,         ,
SCD           ,accounting.scd       ,string   ,       ,0     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,getExportValue ,         ,
EXTRA         ,accounting.extra     ,string   ,       ,0     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,getExportValue ,         ,
