name              ,selector         ,type     ,unused ,width ,editable ,decimals ,isPill ,align  ,cn ,download ,chart ,searchable ,detail ,wide ,underField ,onDisplay     ,onAccept ,onValidate
ID                ,id               ,string   ,       ,1     ,         ,         ,       ,       ,   ,         ,      ,true       ,       ,     ,           ,getFieldValue ,         ,
Tags              ,tags             ,string   ,       ,3     ,true     ,         ,       ,       ,   ,         ,      ,true       ,       ,     ,           ,              ,         ,
Address           ,address          ,address  ,       ,6     ,true     ,         ,       ,       ,   ,         ,      ,true       ,       ,     ,           ,              ,         ,
Name              ,name             ,string   ,       ,4     ,true     ,         ,       ,       ,   ,         ,      ,true       ,       ,     ,           ,              ,         ,
Symbol            ,symbol           ,string   ,       ,2     ,true     ,         ,       ,center ,   ,         ,      ,true       ,       ,     ,           ,              ,         ,
Source            ,source           ,string   ,       ,4     ,true     ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,getFieldValue ,         ,
Decimals          ,decimals         ,uint64   ,       ,2     ,true     ,         ,       ,center ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Description       ,description      ,string   ,       ,4     ,true     ,         ,       ,       ,   ,         ,      ,true       ,       ,     ,           ,getFieldValue ,         ,
Deleted           ,deleted          ,bool     ,       ,0     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
isCustom          ,is_custom        ,bool     ,       ,0     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
isPrefund         ,is_prefund       ,bool     ,       ,0     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
nAppearances      ,nAppearances     ,blknum   ,       ,0     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Last Export       ,lastExport       ,blknum   ,       ,0     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
First Appearance  ,firstAppearance  ,blknum   ,       ,0     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Latest Appearance ,latestAppearance ,blknum   ,       ,0     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
isMonitored       ,monitored        ,bool     ,       ,2     ,         ,         ,true   ,center ,   ,         ,      ,           ,       ,     ,           ,useFieldValue ,         ,
Path              ,path             ,string   ,       ,0     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Size              ,sizeInBytes      ,filesize ,       ,0     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
