name       ,selector   ,type     ,unused ,width ,editable ,decimals ,isPill ,align  ,cn ,download ,chart ,searchable ,detail ,wide ,underField ,onDisplay     ,onAccept ,onValidate
ID         ,id         ,string   ,       ,1     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,getFieldValue ,         ,
Name       ,name       ,string   ,       ,1     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Selector   ,selector   ,string   ,       ,1     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Type       ,type       ,string   ,       ,1     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Width      ,width      ,uint64   ,       ,1     ,         ,         ,       ,center ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Class Name ,cn         ,string   ,       ,1     ,         ,         ,       ,center ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Alignment  ,align      ,string   ,       ,1     ,         ,         ,       ,center ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Decimals   ,decimals   ,uint64   ,       ,1     ,         ,         ,       ,center ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Editable   ,editable   ,bool     ,       ,1     ,         ,         ,true   ,center ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Hidden     ,hidden     ,bool     ,       ,1     ,         ,         ,true   ,center ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Detail     ,detail     ,bool     ,       ,1     ,         ,         ,true   ,center ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
HideEmpty  ,hide_empty ,bool     ,       ,1     ,         ,         ,true   ,center ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
isPill     ,isPill     ,bool     ,       ,1     ,         ,         ,true   ,center ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Download   ,download   ,bool     ,       ,1     ,         ,         ,true   ,center ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Sortable   ,sortable   ,bool     ,       ,1     ,         ,         ,true   ,center ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Chart      ,chart      ,string   ,       ,1     ,         ,         ,       ,center ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
underField ,underField ,string   ,       ,1     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
onDisplay  ,onDisplay  ,function ,       ,1     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
onAccept   ,onAccept   ,function ,       ,1     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
onValidate ,onValidate ,function ,       ,1     ,         ,         ,       ,       ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
