name             ,selector        ,type   ,unused ,width ,editable ,decimals ,isPill ,align    ,cn ,download ,chart ,searchable ,detail ,wide ,underField ,onDisplay     ,onAccept ,onValidate
ID               ,id              ,string ,       ,0     ,         ,         ,       ,         ,   ,         ,      ,true       ,       ,     ,           ,getFieldValue ,         ,
Status           ,status          ,string ,       ,1     ,         ,         ,       ,         ,   ,         ,      ,true       ,       ,     ,           ,              ,         ,
Name             ,name            ,string ,       ,1     ,         ,         ,       ,         ,   ,         ,      ,true       ,       ,     ,           ,              ,         ,
Subsystem        ,which           ,string ,       ,1     ,         ,         ,       ,         ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Description      ,descr           ,string ,       ,0     ,         ,         ,       ,wordwrap ,   ,         ,      ,true       ,       ,     ,           ,              ,         ,
API Provider     ,apiProvider     ,string ,       ,1     ,true     ,         ,       ,         ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Host             ,host            ,string ,       ,0     ,         ,         ,       ,         ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Host Env         ,environ         ,string ,       ,1     ,         ,         ,       ,         ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
RPC Provider     ,rpcProvider     ,string ,       ,1     ,true     ,         ,       ,         ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Trace Provider   ,traceProvider   ,string ,       ,0     ,true     ,         ,       ,         ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Balance Provider ,balanceProvider ,string ,       ,0     ,true     ,         ,       ,         ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Cache Path       ,cachePath       ,string ,       ,0     ,         ,         ,       ,         ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Index Path       ,indexPath       ,string ,       ,0     ,         ,         ,       ,         ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
Version          ,version         ,string ,       ,0     ,         ,         ,       ,         ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
